根據巴塞爾協議 III，信用機構衡量違約風險時最重要的指標是什麼？	違約機率（Probability of Default, PD）。
在克羅地亞央行（HNB）的研究中，哪些虛擬變量被加入模型以反映特定風險？	公共企業（DMY_SOE）、項目融資和建築業（DMY_GRAD）。
在 HNB 模型中，變量 I1（流動比率）與風險的關係為何？	指標值越高，企業風險越低（負相關）。
校準（Calibration）在信用模型中的目的是什麼？	確保模型計算出的得分能準確反映現實中的違約頻率（中心趨勢）。
二項式檢定（Binomial Test）在評級規模定義中的作用為何？	用於驗證各個評級等級（Rating Grades）的預計違約率是否與實際觀測值相符。
在二項式檢定中，若觀測到的違約率高於上限（$Sup_i$），代表該評級等級存在什麼問題？	低估了風險（Underestimates risk）。
模型開發過程中，通常將總精力的百分之幾分配給模型構建？	約 $20\%$（其餘 $80\%$ 分配給治理、驗證和數據準備）。
哪種回歸方法常用於二進制因變量，並能將結果直接解釋為違約機率？	邏輯斯迴歸（Logistic Regression, Logit）。
單變量分析（Univariate Analysis）的主要篩選標準是什麼？	變量的區分能力（如 Gini $> 0.3$）和數據完整性（如缺失率 $< 20\%$）。
在 2026 年的視角下，為什麼「黑盒精度 vs. 可解釋評分卡」的傳統爭論已過時？	因為用於解釋複雜模型的工具箱（如 SHAP, LIME）已經成熟。
根據 Beehive Strategy，銀行在決定 AI 系統是「自建」還是「購買」時，通常建議保留什麼？	核心風險模型 IP 以及與監管審查相關的治理流程。
數據血緣（Data Lineage）對合規性的重要性在於？	能自動回答監管機構關於輸入數據來源及其變動時間的問題。
在亞太地區，銀行在進行區域部署時必須考慮的首要數據約束是什麼？	跨境數據流動限制（如中國的《個人信息保護法》PIPL）。
為什麼在 PD 模型中要排除具有「自動預警」性質的行為變量？	為了避免模型中出現自相關成分（Autoregressive component），確保預測性而非描述性。
邏輯斯迴歸模型假設因變量與自變量之間存在何種關係？	單調遞增或遞減的函數關係。
在 HNB 研究中，哪項指標被證明能提升模型的區分能力？	加入「行為變量」（Behavioural Variables）。
什麼是「單調性約束」（Monotonicity Constraints）？	在 GBDT 等複雜模型中強制要求特徵與預測值之間保持單向關係，以符合經濟邏輯並滿足監管要求。
「等機會公平」（Equal Opportunity）在信用風險中是指？	具有信用的申請人在不同群體中是否具有相同的獲批機率（假陰性率一致）。
為何「平均付款期」（I16）在小企業模型中是重要的風險指標？	它反映了企業的供應商融資壓力和現金流管理的效率。
在 2026 年，銀行風險官員查詢模型漂移的趨勢是什麼？	使用自然語言與整合在辦公軟體（如 Teams/WeChat Work）中的 AI 代理進行查詢。
巴塞爾協議中定義的「違約實質性閾值」在克羅地亞的例子中是多少？	絕對金額 HRK 3,750 且相對佔比大於 $2.5\%$（但在實務中多僅採用絕對閾值）。
在處理非單調風險函數的變量時，哪種轉換最常用？	WoE 轉換（可以將非單調關係轉化為線性關係）。
「訓練集」（Training sample）與「樣本外」（Out-of-sample）數據的區別？	訓練集用於估計模型參數；樣本外數據用於驗證模型是否過度擬合。
IBM (2025) 指出金融業數據洩漏的平均成本超過多少美元？	600 萬美元。
在 2026 年的銀行業，數據治理對於 AI 成熟度的作用是什麼？	它是模型的基礎設施，確保特徵工程的效率與審計追溯能力。
若 IV 值低於 $0.02$，在建模中應如何處理該變量？	視為不適合建模（Unsuitable for modelling），應予以剔除。
克羅地亞央行的 PD 模型開發樣本跨越了哪段時間？	2011 年至 2015 年。
什麼是「時間外」（Out-of-time, OOT）驗證？	使用模型開發時期之後的新數據段來測試模型的穩定性和預測效力。
在 HNB 的多變量分析中，變量間相關係數高於多少會被考慮剔除以解決共線性問題？	$60\%$ 至 $80\%$。
特徵存儲中的「時間點正確性」（Point-in-time correctness）是為了解決什麼問題？	數據洩漏（Data Leakage），確保回測時僅使用歷史當前時刻可用的數據。
美國 ECOA 和 Regulation B 對拒絕信（Adverse Action Letters）的主要要求是什麼？	必須提供具體且準確的決策理由，不接受單純的「模型決定」。
在亞洲市場，替代數據中的「現金流信號」對哪類借款人最有效？	缺乏徵信報告的「白戶」（Thin-file）群體。
什麼是「解釋穩定性」（Explanation Stability）？	對於配置幾乎相同的申請人，模型應給出一致的理由代碼，避免法律風險。
為什麼機器學習模型更適合處理「零工經濟」借款人的風險？	因為它能捕捉非傳統、高頻率的交易數據，這些數據在傳統財務報表中無法體現。
在建模過程中，哪種特徵在房地產貸款（Mortgage）預測中比在循環信用中更重要？	宏觀經濟特徵（Macro factors）。
「中心趨勢」（Central Tendency）在 PD 校準中指什麼？	總體人口的長期平均違約率。
模型庫系統（Model Inventory Systems）在 2026 年預期需具備什麼功能？	追蹤版本、性能漂移、公平性指標和事件記錄的時間序列功能。
在 HNB 模型中，I72（總負債收益比）的經濟意義是？	反映企業利用負債創造收入的能力，值越高則風險越低。
為什麼自動化測試組件（Automated Testing Suites）對模型驗證很重要？	它能縮短長達數月的驗證週期，讓模型更快投入生產。
Gartner (2025) 預測到 2026 年，有多少大銀行將在生產中運行至少一個 ML 信用模型？	超過 $60\%$。
「交互限制」（Interaction Limits）在 AI 模型設計中起到什麼作用？	限制變量間的複雜交互，以增強模型的可解釋性和穩定性。
為什麼模型風險管理（MRM）失敗往往是 AI 信用項目失敗的主因？	因為模型雖有效，但無法被證明、質詢或有效維護。
特徵工程在信用 AI 模型開發中通常佔據多少比例的努力？	$60\%$ 至 $80\%$。
在 2026 年，銀行對內部開發 AI 系統的治理重點在於？	減少「人才集中風險」（Key-person risk）和「文件債務」。
