根據 K2view 的定義，何謂「AI 資料隱私」？	為保護 AI 應用程式、框架和模型所收集、存儲和處理的敏感資料而採取的安全措施。
根據 Source 4，為什麼 AUC 面積不是評估隱私保護的理想指標？	因為它無法捕捉到可能發生的局部「災難性失敗」。
「對抗性測試」在 AI 資料安全生命週期中的作用為何？	識別並修補模型中可能導致敏感訓練數據洩漏的漏洞。
遷移學習引發的資料用途爭議，主要違反了資料治理中的哪項原則？	目的限制原則（Purpose Limitation）。
差異隱私如何處理「輔助資訊」（Auxiliary information）帶來的威脅？	其數學框架保證了即使攻擊者擁有外部知識，隱私洩漏量依然受控。
在金融業實施 RAG 時，微型資料庫如何解決「實時性」挑戰？	透過與源系統持續同步，確保 AI 獲得的是最新且合規的實體資料。
何謂「資料主權」（Data sovereignty）的社會契約視角？	重新思考個體對其生成行為資料的所有權與使用決定權。
為什麼 Z-檢定在差異隱私效用分析中是常見的工具？	用於評估添加 DP 雜訊後的樣本平均值是否仍具統計顯著性。
Five Safes 治理框架主要評估資料發布的哪五個維度？	安全的人、安全的研究、安全的設定、安全的數據、安全的產出。
差異隱私的「隱私損失參數」如何與「統計顯著性」連結？	透過計算不同隱私強度下檢定功效（Power）的下降程度來連結。
為何「數據質量」對 AI 資料治理至關重要？	因為低質量的偏誤數據會導致 AI 模型產生歧視性或錯誤的財務決策。
「聯合學習」（Federated Learning）在醫療大數據分析中的優點為何？	允許在不共享原始數據的情況下進行模型訓練，提升數位轉型。
差異隱私如何幫助減少金融機構的「商譽損害」風險？	透過嚴格限制數據洩漏的可能性，維持客戶的信任與忠誠度。
「去識別化」技術在法律上目前面臨的最大辯論為何？	關於去識別化後的資料是否仍屬於「個人資料」範疇的認定。
差異隱私框架下的「成員推論攻擊」與「重構攻擊」有何異同？	兩者皆旨在竊取資訊，但成員推論關注「存在性」，重構關注「具體數值」。
對於金融從業者而言，「微型資料庫」如何改變大規模個人化的成本？	它允許在保持嚴格安全措施的同時，以業務規模和速度提供個人化服務。
在 AI 治理中，「人類監督」（Human oversight）的主要職責為何？	確保 AI 決策過程不違反公平性原則且在出錯時能及時介入。
為什麼歐盟的 5AMLD 指令對 AI 資料治理有影響？	它要求金融機構使用進階監控系統來檢測非法資金流動並確保數據保護。
何謂 AI 時代的「代理經濟」（Agentic AI）？	指 AI 代理（Agents）加速融入企業營運核心並代表用戶執行決策的趨勢。
差異隱私技術中的「雜訊校準」（Noise calibration）目的是什麼？	根據查詢的敏感度和隱私預算，確定需要添加的最優雜訊量。
在處理多個假設檢定時，為何需使用「龐費洛尼校正」（Bonferroni correction）？	為了控制因多次檢定而增加的偽陽性（第一型錯誤）累積機率。
