在電腦運算中，哪種數據處理技術透過消除重複出現的冗餘數據複本來提高存儲利用率？	數據去重（Data deduplication）。
在代碼層面，使用 CSS 類來代表重複樣式信息屬於哪種去重形式？	代碼去重（Deduplication in computer code）。
與硬連結不同，數據去重可以在文件的什麼層次上運行？	子文件或塊層次（Sub-file or block level）。
數據去重如何幫助降低企業的資本支出（CapEx）？	透過減少滿足容量需求所需的存儲媒體總量。
為什麼硬連結無法節省僅發生小幅變化的電子郵件數據庫空間？	因為硬連結要求整個文件必須完全相同。
後處理去重技術賦予用戶延遲優化的能力，這通常針對哪類文件？	處於「活動」狀態的文件。
為什麼虛擬桌面（VDI）環境非常適合使用數據去重？	因為不同虛擬機之間的系統文件高度重複。
客戶端備份去重（Client backup deduplication）如何減少網絡流量？	雜湊計算在源端完成，僅發送目標設備尚未擁有的數據。
主存儲系統相較於二級存儲，為什麼較少使用去重技術？	主存儲對性能下降的容忍度低，且數據重複率通常低於備份數據。
單一實例存儲（SIS）通常在哪個層級消除冗餘？	整個文件或電子郵件等對象層級。
雜湊函數衝突的可能性主要取決於什麼因素？	雜湊長度（Hash length）。
弱雜湊（Weak hashes）在系統中的作用是什麼？	快速篩選可能重複的數據以提高性能。
為什麼對數據庫進行數據去重比文件系統去重更複雜？	數據庫內部的微小變化會影響整個文件的雜湊值，需要更細粒度的塊級去重。
在金融監管中，CRR 的全稱是什麼？	資本要求條例（Capital Requirements Regulation）。
IMM 實施三年內，涵蓋的交易數量比例應達到多少？	大於 $70\%$。
如果 IMM 涵蓋範圍之外的 RWA 超過 $35\%$，機構必須證明什麼？	剩餘交易因缺乏校準數據而無法建模，或非 IMM 方法已足夠保守。
驗證職能必須對什麼樣的建模假設進行獨立評估？	所有關鍵建模假設（Key modelling hypotheses）。
高級管理層在 IMM 管理中的職責包括批准所有的什麼？	IMM 的所有重要方面以及正式的決策結構。
在 CCR 風險控制中，獨立的風險控制單元應與什麼部門分離？	負責發起、續約或交易衍生性商品的部門。
為什麼在使用 IMM 之前需要進行「經驗測試」？	以證明機構在正式獲得核准前已實際使用該模型進行風險管理。
在保證金餘額建模中，如果機構不進行持續模擬，則需在什麼情況下採取保守處理？	建模 MTA（最低轉帳金額）的影響時。
定價模型舉例：用於確定掉期期權市值的 Black 76 模型屬於哪類？	定價模型（Pricing model）。
若某模型實施始終使用期權的內含價值來近似真實價值，這是一種什麼樣的建模行為？	系統性低估曝險（因為期權價值始終大於或等於內含價值）。
哪類子組合需要具有代表性的交易類型、風險因子和保證金協議特徵？	代表性子組合（Representative sub-portfolios）。
針對 IMM 模型發現的補救措施必須在什麼樣的時間範圍內實施？	及時（Timely manner）。
在二類公司治理結構中，管理主體的監督職能對應的是哪個部分？	監事會（Supervisory board）。
為什麼加密雜湊函數在去重中常被稱為「指紋」？	因為它為特定的數據塊提供了高度唯一且固定的縮減表示。
在代碼去重中，MediaWiki 的具名引用如何體現去重原則？	透過在中心引用位置定義一次信息，並在多處引用。
數據去重與 LZ77 算法的根本區別是什麼？	LZ77 在單個文件內工作，而去重旨在跨大量數據識別相同文件或大型塊。
數據備份中，大多數數據與前一次備份相比有何特徵？	保持不變（Unchanged）。
後處理去重對「活動」文件進行延遲處理的主要目的是什麼？	避免在文件仍被頻繁讀寫時消耗雜湊計算資源。
什麼樣的數據去重方法需要對特定應用程序的數據格式有深入了解？	內容感知去重（Content-aware deduplication）。
在 Windows 服務器上，數據去重作為哪種角色的服務可用？	NTFS 和 ReFS 上的文件服務。
為什麼雜湊衝突會引發對數據損壞的擔憂？	因為兩段不同的數據會被系統當作同一段處理，導致其中一段遺失且無法恢復。
單一實例存儲（SIS）通常應用於哪些計算機軟件中？	文件系統、電子郵件服務器、數據備份軟件。
去重系統中的「強雜湊（Strong hashes）」通常是指什麼？	具有極低衝突概率的算法（如 SHA-256），用作重複性的決定性因素。
在雲端去重攻擊中，攻擊者如何利用雜湊值竊取他人文件？	通過猜測文件的雜湊值並嘗試下載，如果雲端已存儲該雜湊，則可能直接獲取訪問權。
在 IMM 的情境下，「陽春型（Plain vanilla）」交易主要指什麼？	簡單的利率和外匯衍生性商品。
ECB 期望機構在回測時，其統計組件應包含什麼樣的門檻值？	回測交通燈門檻值（Back-testing traffic lights thresholds）。
在模型校準中，除了標準校準外，IMM 還需要哪種校準以應對市場極端情況？	壓力校準（Stressed calibration）。
在委託第三方進行模型驗證時，機構應定期審查什麼標準？	EBA 外包安排準則中的監管條件。
