AI 客服設計中，當客戶說「我要找真人」時，屬於哪一種觸發類型？	明確要求觸發（Explicit-request）。
在 AI 內容審核中，當 AI 無法判斷是否違規時，應採取什麼策略？	寧可錯殺不可放過，將所有灰色地帶交給人類。
哪種 HITL 模式下，AI 的每一個決策都必須經過人類批准？	人及迴圈中（In the loop）。
歐盟《可信賴人工智慧倫理準則》要求 AI 必須遵守哪五大倫理原則？	行善、不作惡、保護人類、公平、公開透明。
在歐盟準則中，「問責制（Accountability）」的關鍵技術特徵為何？	演算法的可審計性（Auditability）。
花O銀行 81 兆美元誤匯事件的主要系統設計缺陷為何？	交易金額預設 15 個零，且未強制員工檢查輸入內容。
金融 AI 稽核中，利用 AI 設定「異常邊界」的主要用途為何？	在交易超過門檻或頻率異常時自動警示管理層並暫緩交易。
金融內控三道防線中，AI 與 CAATs 結合後，第二道防線（風控法遵）的職責為何？	進行 AML 監控、風險預測與趨勢分析，提前應對高風險交易。
金管會發布的「金融業運用 AI 指引」包含哪六大核心原則？	治理與問責、公平性、隱私保護、系統穩健與安全、透明與可解釋、永續發展。
在金融 AI 風險評估中，什麼樣的系統通常被視為「風險性較低」？	僅用於提升內部行政作業效率或不涉及個資、監理規範的系統。
金管會指引中，AI 系統生命週期包含哪四個階段？	規劃及設計、資料蒐集及輸入、模型建立及驗證、部署及監控。
金融機構委託第三方業者導入 AI 時，宜簽訂什麼條款以保護資料安全？	包含資料加密傳輸、存儲安全及終止後處置方式的資料保護條款。
「負責任 AI (Responsible AI)」框架應在何時融入 AI 系統？	應融入整個 AI 生命週期中。
AI Agent 執行任務時，哪些動作「絕對不適合」完全放手自動化？	正式對外輸出、刪除資料、付款、改權限或法規風險判斷。
在評估是否需加入 HITL 時，首要考量的問題為何？	哪一步如果出錯，產生的代價最大。
「人機協作」並非為了拖慢流程，其真正目標為何？	讓系統在真實世界中更可靠、更可控且更具備同理心。
在 AI 轉真人交接中，「AI 已給過的承諾」欄位對客戶體驗有何重要性？	避免真人在接手後否認 AI 給出的優惠或承諾，造成信任危機。
為何「純 AI 處理、無真人入口」在台灣會產生合規風險？	因為消保處明確要求業者必須提供具體可聯繫之人工管道。
AI 客服的「Containment rate」高代表什麼？	AI 成功在不轉真人的情況下解決問題的比例。
在 HITL 介面中，「差異標記」功能的用途為何？	將 AI 不確定的段落反白，讓人類視線聚焦在問題點以快速決策。
當 AI 處理敏感資料時，UI 設計如何在保護隱私與判斷脈絡間取得平衡？	使用去識別化資料（如使用者 A），並提供受權限控管的解密按鈕。
為何在 AI 轉真人時，情緒分數（Sentiment Score）是必要的欄位？	提示真人調整對應語氣，避免應對情緒高昂客戶時激化衝突。
在金融業中，導入 AI 最顯著的營運好處第一名為何？	增強數據分析能力。
台灣金融業推動 AI 面臨的第一大挑戰為何？	人才不足。
在 AI 指引總則中，何謂「自行研發」之 AI 系統？	包含獨立開發、共同開發，或以開源模型為基礎進行微調研發。
針對高風險 AI 系統，除了內部管理外，金管會建議可引進何種機制？	由獨立第三人進行審核或評測。
當金融機構委外開發 AI 時，誰必須對該 AI 系統承擔最終問責責任？	委任之金融機構。
「自動化悖論」是指人類在哪種情況下會喪失應對危機的專業能力？	當 AI 運作過於完美，導致人類因缺乏決策磨練而反應鈍化。
在醫美診所的 AI 案例中，哪類問題應強制轉接給護理師？	任何含有醫療詞彙（症狀、藥名、術後不適）的問題。
AI 客服系統第一週上線時，校準路線建議先開啟哪些觸發？	明確要求觸發（explicit-request）與安全網（fallback）。
如果客戶要求轉真人，但 AI 完全可以解決該問題，應如何處理？	強制升級。客戶選擇權永遠優先於自動化效率。
在金融 AI 內部審核中，為何要監控「零升級」的代理系統？	可能是 AI 過度自信跳過人類審查，導致虛假的安全感。
「學習回饋（Learning Feedback）」在 HITL 循環中的運作方式為何？	人類修正的結果回饋到模型，影響未來的強化學習軌跡。
Google ADK 的 `personalizationCallback` 主要作用為何？	在每次 LLM 推理前注入客戶歷史資訊，確保對話具備上下文。
若金融 AI 系統決策結果對客戶權益有重大影響，其風險等級為何？	通常被評估為高風險系統。
金管會要求金融機構董（理）事會應對 AI 系統具備什麼樣的參與？	董（理）事會應對金融機構所運用之 AI 系統有所認識。
在處理高風險警報（如 500 萬異常轉帳）時，UI 應包含什麼關鍵設計？	倒數計時器及未回應自動凍結機制。
「一鍵回饋」機制中，為了讓 AI 學到東西，在拒絕時應要求審核員做什麼？	強制填寫或選擇拒絕的原因。
金融機構應如何應對第三方業者複委託所產生的 AI 風險？	在契約中明訂複委託之責任分配及監控要求。
在 AI 生成文案審核中，系統自動記錄的「diff」代表什麼？	人類修改版本與 AI 生成版本之間的內容差異。
在 24 小時服務文化下，夜間 AI 升級常用的替代方案（Fallback）為何？	預約隔日回電（Callback）或發送訊息確認。
為什麼 Rule-based 觸發不能作為唯一的升級依據？	因為它無法偵測客戶語氣中的疲態或情緒暗示。
AI 轉真人設計中，如果情緒分數觸發升級，但問題是純 FAQ 類，應如何決策？	仍應由 AI 完成，因為此時轉真人可能讓客戶更不爽。
何種規模的團隊建議直接由老闆接手所有 AI 升級需求？	10 人以下的小團隊。
在金融業，KYC 與 KYT 分別代表什麼 AI 監控標準？	認識你的客戶（Know Your Customer）與認識你的交易（Know Your Transaction）。
金管會指引中，對於「高風險 AI 系統」的監控頻率有何建議？	宜建立較高頻率及廣泛層面之監控機制。
HITL 流程中的「決策路徑標記」對監督者有何幫助？	一眼看出哪些決策是 AI 自行判斷，哪些是經過程式強制檢查點。
哪一種對話格式建議用於「完整對話逐字稿」的傳遞？	Timestamped JSON 與 Plain-text 雙存格式。
若 AI 承諾了退費金額，真人客服卻不知情並否認，這種失敗稱為？	信任崩潰（或 Context 斷層導致的客戶體驗失敗）。
金管會指引強調，達成「妥適管理 AI 風險」應基於什麼基礎方式？	以風險基礎（Risk-based approach）落實核心原則。
在 100 人規模客服團隊，建議配置多少真人專員處理 AI 升級？	3 名主輪班專員加 1 名督導（共 5 FTE 包含 Buffer）。
「透明性與可解釋性」原則在面對消費者時應如何落實？	讓消費者意識到正在與 AI 互動，並理解系統功能與限制。
在 AI 治理架構中，指定高階主管的目的是什麼？	負責 AI 相關監督管理，並對內外責任負責。
為何「弱勢族群識別」被列為必須升級至真人的情境？	符合消保法弱勢條款，避免 AI 誤解長者或障礙人士需求。
金融機構委託第三方業者時，若服務終止，應事先訂定什麼機制？	適當的資料或系統遷移機制。
「救濟選項（Remedies）之完整度」在風險評估中扮演什麼角色？	若缺乏申訴或補救管道，該 AI 系統之風險評分會提高。
AI 系統若具有「高度自主學習」特徵，對風險管理有何影響？	會增加未預期之系統性負面影響，風險性較高。
AI 指引中的「內、外部責任」之「外部責任」具體指什麼？	對消費者與社會之責任，包括隱私保護與資訊安全。
「分散式處理」如何應用於 AI 內容審核的 HITL 流程？	AI 過濾掉 8 成黑白分明的常規內容，人類專注處理 2 成複雜灰色地帶。
企業導入 AI Agent 時，如何避免人工審核成為「流程裝飾」？	確保審核者有權限擋下錯誤，並清楚知道審核標準。
在 HITL 策略中，哪種情況下系統會切換至「人在迴圈中」？	偵測到退款、法律問題或高風險關鍵字時。
何謂「回饋循環」在客戶服務 AI 中的應用？	真人客服對 AI 草稿的每一次修改，都在訓練 AI 下次產出更好。
在金融內控防線中，第三道防線（內部稽核）使用 CAATs 的目的為何？	評估與驗證風控機制的有效性，提高稽核準確度。
金融 AI 導入後，為何需要「定期」進行評估及測試？	為了因應科技發展或實際成效進行校調，確保系統符合規畫目的。
在處理模糊判斷任務時，人類介入相比全自動化有何優點？	處理例外情況與灰色地帶更為穩健，且能承擔法律責任。
AI 指引建議對於風險較高的系統，提高決策層級至哪裡？	高階主管或委員會。
在 AI 稽核中，分析「交易日誌」主要能辨識什麼？	辨識異常交易或潛在錯誤，確保符合法規遵循。
為何 AI 轉真人交接清單中必須包含「客戶已嘗試的步驟」？	防止真人客服重複要求客戶執行 AI 已經建議過的動作，避免客戶挫折。
在 HITL 設計中，若系統零升級但抽檢漏判率上升，代表什麼？	AI 模型過度自信（False sense of security），應調降信心閥值。
