在金融科技中，「內嵌路徑」（Inline path）的主要特點為何？	模型決策必須在交易授權窗口內的極短時間返回。
GNN 系統在識別「結構化洗錢」時相比傳統系統的優勢？	能發現被故意拆分以規避申報門檻的小額關聯交易。
「解釋性債務」（Explainability debt）在黑盒模型中指什麼？	因過度追求準確率而使用複雜模型，導致難以向客戶或監管者交代決策過程。
金融機構部署「專用 GPU 集群」而非共享 API 的經濟考量？	雖然初始投入高，但在高交易量下可顯著降低單次推理的邊際成本。
何謂「特徵協作」（Feature collaboration）？	將不同維度的特徵（如地理、時間、金額）組合，以強化對複雜詐騙意圖的刻畫。
在 GRAN 框架中，對「夜間交易」設定異常權重的理由？	因為自動化詐騙攻擊常發生在非營業時間以規避即時人工干預。
「內嵌路徑」中的 AI 決策若超過 300 毫秒會發生什麼？	會因錯過支付系統的最後期限而失效，無法影響該筆交易。
為什麼「圖模型」在識別「詐騙環」（Fraud rings）時特別有效？	因為它能揭示不同帳戶共享同一設備或手機號碼的拓撲連結。
在金融 AI 運作中，「容量限制」（Capacity constraints）如何處理流量尖峰？	通常需要預備彈性擴展的雲資源，以應對市場波動或季節性促銷帶來的 10 倍流量。
「約束解碼」（Constrained decoding）在金融輸出中的應用？	在生成過程中強制模型僅選取符合 JSON 格式的 Token，防止格式出錯。
在詐騙偵測中，「Precision」與「Recall」的權衡點為何？	提高 Recall 會增加攔截率，但也可能導致更多合法交易被錯誤凍結（降低 Precision）。
萬事達卡使用的「決策智慧」AI 技術（Decision Intelligence）每年可防止多少潛在損失？	原文未標註具體金額，但強調每年掃描 1,600 億筆交易以強化防護。
「行為特徵工程」與「靜態個資偵測」的最大區別？	前者專注於動態交易的頻率、節奏與意圖規跡，而非用戶的固定身份資料。
在 AWS 解決方案中，哪種網路技術常用於加速數據中心間的傳輸？	InfiniBand 網絡。
何謂「罪犯腳本」（Crime Script）？	將犯罪過程拆解成準備、實施到脫逃等多個具邏輯性的步驟。
「模型上下文協議」（Model Context Protocol, MCP）在金融數據整合中的潛力？	協助 AI 模型更有效率地連接至銀行內部的異質數據源。
金融 AI 系統在「跨國支付」中處理「數據駐留」（Data Residency）的挑戰？	必須確保數據處理符合各國法律，有時需要在當地雲區域建立專用推理端點。
