儀表板（Dashboard）的核心定義是什麼？	在統一介面中呈現多個來源的關鍵指標，以支援監控、分析與決策。
為何不一致的日期格式會損害儀表板的價值？	會導致使用者對數據產生疑惑並降低對報告的信任。
成功的視覺化設計應具備「自明性」，意指使用者不需要_____即可理解報告。	額外的說明或詢問
RowSpeak 等 AI 工具在儀表板生成中的主要優勢為何？	快速將 Excel/PDF 等原始資料轉化為可互動的看板與洞察。
在信用管理中，對於高風險客戶的 AR 佔比監控屬於哪類分析需求？	策略與操作兼具的風險監控。
為何在 Power BI 報表中使用 SSD 硬碟很重要？	可提升數據處理與載入速度。
在風險報告中，「行動建議」的重要性為何？	幫助決策者從理解問題轉向採取具體行動。
什麼樣的圖表適合識別數據中的離群值（Outliers）？	散點圖（Scatter Plot）或直方圖（Histogram）。
在儀表板上標註數據來源與最後更新時間的目的是什麼？	建立數據信任並便於追溯問題。
如果收到過多儀表板警報，設計者應採取什麼行動？	調高觸發閾值並僅對有意義的變化發出警報。
確保跨團隊儀表板一致性的簡單方法是？	使用標準模板，規定相同的色彩、字體與間距。
哪種類型的圖表可以顯示兩個變數之間的密度關係？	熱力圖（Heat Map）。
在設計信用風險報告時，為何要區分「信用經理」與「高階主管」的報告內容？	因為兩者的操作細節需求與決策層級不同。
「數據墨水比」（Data-ink ratio）的核心原則是什麼？	最大化用於顯示核心數據的墨水，最小化非必要的裝飾墨水。
當數據類別非常多（如超過 20 個項目）時，應優先考慮哪種圖表？	垂直或水平長條圖。
堆疊長條圖（Stacked Bar Chart）的主要用途是什麼？	同時顯示總量及其細分組成部分。
在 Power BI 實作中，優化 DAX 公式對效能有何影響？	可縮短報表載入時間與查詢延遲。
在進行季度設計審查時，最應關注的是什麼？	指標是否仍與當前的業務變化與需求保持一致。
什麼是儀表板中的「上下文數據」（Contextual Data）？	如預算、歷史同期或行業基準，用以賦予當前數值意義。
樹狀圖（Tree Map）在何種情境下優於長條圖？	需要在有限空間內顯示大量具有階層關係的分類時。
在信用風險報告中，將行銷支出與銷售結果並列是為了顯示什麼關係？	因果關係（Causality）。
「響應式設計」在現代儀表板中的重要性體現於哪方面？	讓使用者能流暢地在行動裝置上查看報表。
為什麼在報告中使用具體的標籤比依賴圖例（Legend）更好？	能減少使用者的眼球移動次數，加快解讀速度。
在 Power BI 中，Power Query 模組的主要功能是？	進行數據匯入與轉換（ETL）。
對於非技術的決策者，儀表板應盡量減少使用_____術語。	技術或統計學
若要呈現多個變數之間的複雜相關性，通常使用哪種專業圖表？	矩陣圖或散點圖矩陣。
有效的儀表板應能指引使用者從發現問題到_____。	採取行動（Action）。
在風險溝通中，避免「長篇大論的介紹」是為了符合董事會的什麼特性？	時間受限（Time Constraints）。
什麼是儀表板中的「鑽取」操作？	從總結數據深入到具體交易或明細數據的操作。
在信用分析中，追蹤「逾期帳齡分段」（Aging Buckets）屬於哪種圖表應用？	分類比較圖表。
在設計警報機制時，應將通知發送給什麼樣的人？	能夠根據該資訊採取行動的人員。
希克定律中的參數 $n$ 代表什麼意思？	可供選擇的數量。
「簡單即是優雅」是誰關於儀表板設計的名言？	Stephen Few。
在 Power BI 中，哪種視覺化組件最適合顯示單一關鍵數值？	卡片（Card）。
若要顯示隨時間變化的累積效應，面積圖（Area Chart）比折線圖多強調了什麼？	數值的體量或量級。
進行數據視覺化時，應優先考慮色盲友善的配色，例如避免同時使用_____兩色。	紅、綠
儀表板設計中「一致性」的範疇包含色彩、字體、間距與_____。	對齊方式
什麼是儀表板設計中的「決策 ready」見解？	資訊已經過提煉，讓決策者能直接判斷是否需要介入。
數據視覺化的最終考驗是什麼？	是否能幫助使用者更精確、更有效率地理解資訊並做決策。
