在信用風險研究中，使用受監督的大語言模型框架處理文檔的主要目的是什麼？	從非結構化科學論文中自動提取模型、性能指標和驗證類型等結構化數據。
在 Luo 的研究中，什麼是「全自動化率」（Full automation rate）？	無需人工干預即可通過驗證並直接發布的查詢比例。
風險篩選模組對操作風險事件的早期預警平均提前了多少天？	61.2 天。
在監管問答中，「比較性問題」（Comparative questions）之所以響應時間最長，是因為需要什麼？	需要進行更複雜的多文檔綜合分析。
綜合監管效率指數的四個構成指標分別為何？	及時性（Timeliness）、準確性（Accuracy）、覆蓋範圍（Coverage）和員工效率（Staff efficiency）。
計算第 $t$ 期綜合監管效率指數的公式為 $CEI_t = \sum_{d=1}^{4} w_d \cdot \frac{X_{d,t}}{X_{d,0}} \times 100$，其中 $X_{d,0}$ 代表什麼？	基準期（第 0 期）第 $d$ 個指標的數值。
在處理財務報表識別時，印章（Stamps）和浮水印（Watermarks）會造成什麼影響？	會干擾文字辨識，需要額外處理。內容。
為什麼 Luo 的系統選擇在私有雲（Private cloud）中部署，而非使用商業 API？	出於數據隱私和安全考慮，所有數據不得發送到外部。
Luo 的系統中，「分層服務模型」（Tiered service model）的目的是什麼？	用小型蒸餾模型處理簡單查詢，全規模模型處理複雜查詢，以降低運營成本。
在信用風險論文提取中，「模型/指標對」（Models/metric pairs）衡量的是什麼？	特定模型與其對應性能結果的關聯準確性。
受監督框架中的「邏輯驗證」（Logical validation）流程負責檢查什麼？	驗證所有必需字段是否存在且邏輯上是否有效。
對於低質量的掃描 PDF（如 Ohlson 論文），受監督系統會如何處理？	識別 OCR 限制並將其記錄在備註字段中，避免生成虛假數據。
在 Luo 的研究中，「雙重差分法」（Difference in Differences, DID）模型的作用是什麼？	通過排除隨時間變化的因素和群體間的共同趨勢，分離出淨處理效應。
市場風險指標中，「風險價值」（VaR）的定義是什麼？	在 99% 置信水平下的最大預期損失。
操作風險指標中，「系統停機時間」（System Downtime）衡量的是什麼？	每季度的累計系統中斷小時數。
合規風險指標中，「整改及時性」（Remediation Timeliness）的數據來源通常為何？	內部審計（Internal audits）。
在信用風險框架中，「參考文獻 F1 分數」是基於哪一對數據計算的？	作者與年份對（Author/year pairs）。
在 Luo 的實驗中，控制組（Control Group）是由哪兩個部門組成的？	證券監管部和保險監管部。
在問答驗證中，「語義蘊涵模型」（Semantic entailment model）的作用是什麼？	確認生成的答案是否在邏輯上受檢索到的證據支持。
財務風險評估模型中，「事件歸一化」（Event normalization）的目的是什麼？	將不同來源的公告、新聞和報告整合到統一的時間軸上。
在大規模文檔處理中，「Token Aware Chunking」的主要功能是什麼？	根據模型的 Token 限制對文檔進行切片，同時保留語義內容。
根據 Luo 的報告，大語言模型輔助使監管人員的平均每日有效工作量增加了多少倍？	2.8 倍。
在受監督框架圖示中，哪一個步驟產生了「schema JSON」輸出？	大語言模型提取（LLM Extraction）步驟。
在可靠性雷達圖中，除了 JSON 效度外，哪一項指標反映了系統直接對接業務的潛力？	自動化就緒度（Ease of Automation）。
為什麼在受監督模型中，無法確定的數據應留空而非填充？	為了維護事實準確性並避免幻覺（Hallucinations）。
Luo 研究中的「相關性提取」（Relation extraction）技術有助於構建什麼網絡？	實體間的風險敞口網絡（Exposure networks）。
「單一登錄」（SSO）在監管系統部署中的意義是什麼？	確保使用與現有流程一致的訪問控制規則。
叡揚資訊提到，AI 模型每過一兩年就需要定期進行什麼操作，以防止準確率下降？	定期升級演算法或重新建模。
在風險篩選中，「異常檢測」（Anomaly detection）主要針對文本中的什麼現象？	與歷史常規顯著偏離的文本模式（如風險披露中的異常措辭）。
Luo 實驗中，處理組的人員專業背景與控制組相比如何？	基準特徵（學歷、工作經驗）相似，無顯著統計學差異。
對於「比較性查詢」，系統需要區分什麼？	多個不同的監管選項或條款之間的差異。
監管效率指數中的「及時性」（Timeliness）指標具體定義為何？	從提交監管諮詢到發布最終答覆的時間。
在大語言模型輔助下，監管人員的「工作滿意度」發生了什麼變化？	從 3.2 顯著提升至 4.1。
在「SPACE」架構中，為什麼「算力」建議按需付費租用雲端資源？	因為 AI 伺服器通常只在訓練模型或建模期間較常使用。
在信用風險框架中，「Schema Constrained Prompt」的作用是什麼？	指定所需的輸出字段和格式，以引導大語言模型生成結構化數據。
受監督框架如何處理 PDF 中的橫向頁面（Landscape pages）？	系統能正確處理橫向內容，避免因佈局變動而產生錯誤數據。
在 Luo 的研究中，誰負責提供準確性評估的「地面真值」（Ground Truth）？	一組不知道系統來源的資深審查員。
風險篩選指標中的「集中曝險」（Concentrated Exposure）指的是什麼？	最大的風險敞口佔總資本的比例。
在 Luo 的系统中，如何解決監管規定模糊或不一致的問題？	系統在回答旁呈現原始源材料，供人工操作員澄清。
「檢索評分」（Retrieval quality scores）反映了系統的哪種能力？	在向量數據庫中定位最相關監管文檔塊的能力。
在信用風險研究領域，哪種傳統方法被用於預測公司破產？	Altman Z-score 或 Ohlson logit 模型。
根據受監督框架的研究，一般的聊天型模型在處理長文檔時容易出現什麼問題？	當佈局中斷邏輯流時，往往會丟失數據結構。
「精確度」（Precision）在風險篩選背景下表示什麼？	被標記為風險的項目中，經進一步調查後確認為真實風險的比例。
「召回率」（Recall）在風險篩選背景下表示什麼？	系統正確識別出的實際風險佔所有實際風險的比例。
Luo 研究中的「指標完整性」（Indicator completeness）衡量什麼？	必需的風險指標中已填寫且未缺失的比例。
在 GSS 的文中，「Deep OCR」主要解決了傳統 OCR 無法應對的哪種挑戰？	不同公司報表格式不一、篇幅換行換頁及浮水印影響識別等挑戰。
受監督大語言模型框架在科學文獻外的潛在應用場景有哪些？	年度財務報表、審計報告或法律裁決書。
