當前的反詐欺模型常未能識別所有詐欺事件，其主要忽略了數據中的哪項關鍵特徵？	網路結構 (Network Structure)。
圍標 (Bidding Collusion) 常透過哪種方式模擬競爭以掩蓋共謀？	模擬不存在的競爭 (Simulation of non-existent competition)。
在圍標偵測中，僅在紙面上存在且不實際營運的公司稱作？	空殼公司 (Shell Company)。
Louvain 算法在偵測圍標共謀中主要用於計算哪種指標？	社區檢測指標 (Indicator CD)。
Jaccard 相似係數 (Indicator JS) 在標案分析中用於衡量什麼？	不同投標供應商之間標案項目組合 (Item Baskets) 的相似程度。
在關聯規則分析中，Lift 值大於 1 代表什麼意義？	代表前項與後項之間存在正向關聯，且關聯度高於隨機發生機率。
Apriori 算法在分析供應商共同出現情況時，通常需設置哪種門檻以處理大數據量？	最小支持度 (Minimum Support) 門檻。
傳統 AML 系統中，合規團隊因過多誤報而導致的工作倦怠稱作？	警示疲勞 (Alert Fatigue)。
在支付系統中，客戶向另一位客戶匯款的交易類型稱作？	Transfer。
在 PaySim 模型中，負責操縱網路以獲取利益的客戶稱作？	詐欺犯 (Fraudsters)。
哪種技術結合了 CNN/LSTM 進行特徵提取與 Random Forest 進行分類？	混合模型 (Hybrid ML-DL Models)。
區塊鏈技術整合進 AML 流程的主要益處為何？	提供不可竄改的記錄保持，增強可追溯性與數據安全性。
在銀行風險分類中，由於市場價格波動導致損失的風險屬於？	市場風險 (Market Risk)。
在投標共謀分析中，若不同競爭對手的標案文件由同一用戶修改，這屬於哪種特徵異常？	元數據 (Metadata) 異常。
巴塞爾協議 III 中的 LCR 代表什麼指標？	流動性覆蓋比率 (Liquidity Coverage Ratio)。
AML 流程中「整合」(Integration) 階段的目標為何？	將洗淨的資金重新引入合法經濟，使其看起來像是合法收入。
在異常偵測中，Isolation Forest 算法的主要優勢是什麼？	能夠有效識別數據中的異常點（離群值），且適用於未標記數據。
全球洗錢防制標準主要是由哪個國際組織制定的？	金融行動特別工作組 (FATF)。
投標共謀指標 AR (Association Rule) 主要源自於哪種應用領域？	商品推薦系統 (Product Recommendation)。
