在即時支付系統中，傳統規則引擎（Rule engines）的主要局限性是什麼？	過於僵化，無法隨著詐欺手段的演變而調整。
在金融行銷優化研究中，哪種機器學習模型被證明始終優於邏輯迴歸？	XGBoost
預測分析（Predictive analytics）的核心定義是什麼？	利用歷史數據、統計模型和機器學習來預測未來的金融事件。
預測分析與描述性分析（Descriptive analytics）的根本區別為何？	描述性分析解釋過去發生的事，預測分析預測未來結果。
在 Google Cloud 的預測分析工作流程中，第四步是開發預測模型，第五步是什麼？	驗證及部署結果。
什麼技術能讓企業從詢問「會發生什麼事？」進步到「我們該怎麼做？」？	資料分析代理（Data analytics agents）。
在預測分析技術中，用於估算變數之間關係（如價格對銷量的影響）的方法稱為 _____。	迴歸分析（Regression analysis）。
信用違約風險（Credit Default Risk）的具體含義為何？	債務人完全停止償還債務的可能性。
遷移風險（Migration risk）或降級風險是指債務人的什麼情況發生惡化？	其信用評等（Credit rating）。
集中風險（Concentration risk）產生的原因是什麼？	過度投資於單一債務人、特定行業或特定地區。
預測性風險評估（PRA）利用數據分析預測未來事件，這在範式上被稱為 _____ 的轉移。	典範（Paradigm shift）。
銀行在進行預測分析實施時，哪兩個層面的驗證比僅關注技術指標更有效？	技術驗證與業務驗證。
在 AI 代理架構中，如果一個交易被速度監測代理標記為異常，但行為代理顯示低風險，應由誰來決定？	編排層（Orchestration Layer）。
哪項法規明確解決了與代理式詐欺系統相關的自動決策和訪問控制日誌紀錄要求？	PCI-DSS 4.0
在 PenFed 的 PANGEN 項目中，每月的交易處理量約為多少？	380 萬筆。
研究指出，採用集成學習的金融機構在實施後第一年內平均減少了多少詐欺損失？	$31.7\%$
行為生物辨識系統在檢測帳戶接管（Account takeover）事件方面的效率，比傳統方法高出多少？	$76\%$
機器學習中的遞歸神經網絡（RNN）特別適合用於捕捉行為序列中的什麼關係？	時間依賴性（Temporal dependencies）。
IFC 系統中的 API 優先（API-first）設計原則建立了超過多少個標準化接口？	200 個。
根據研究，建立「集中式詐欺數據湖」的機構在性能提升上是破碎數據庫機構的幾倍？	2.3 倍。
金融機構實施正式的模型驗證框架時，通常需要分配總開發資源的多少比例？	$25\%$
在預測分析的資產管理模型中，其核心目標是在控制風險敞口的同時實現什麼？	收益優化。
「時點違約機率」（PiT PD）主要用於預測多久時間內的風險？	近短期（通常為 12 個月）。
在金融 AI 架構中，「交易與上下文層」的作用是什麼？	提供即時的背景信號，如裝置特徵、地理位置和歷史行為。
哪種預測分析模型能像樹狀結構一樣呈現可能的選擇和結果？	決策樹（Decision Trees）。
在 AI 數據分析中，Gemini Enterprise Agent Platform 的主要用途是什麼？	供開發人員建構、擴充、管理及最佳化調整代理的整合平台。
預測分析如何協助「應付帳款」（Accounts Payable）管理？	改善現金流預測和付款優先排序。
何謂「遷移風險」？	債務人信用狀況惡化導致信用評等下降的風險。
在銀行自動化中，AI 代理不應擁有「不受限制的權力」，而應在哪種範圍內行動？	授權的邊界（如定義的風險閾值和審核規則）。
AgentOps 的成熟度評估通常包括哪些關鍵要素？	代理漂移監控、回滾流程和生產環境中的所有權歸屬。
在 VECTOR Labs 的 PD 模型中，除了客戶數據外，還併入了什麼外部效應？	宏觀經濟效應（Macroeconomic effects）。
IFRS 9 與傳統會計準則在貸款損失認列上的最大差異為何？	從「已發生損失」模型轉向「預期損失」模型。
在 PenFed 的 PANGEN 架構中，整合層與核心銀行系統通信是通過什麼框架實現的？	API 框架（API framework）。
行為生物辨識模型通常需要至少多少種不同的行為模態才能達到最佳性能？	3 種。
研究指出，實施預測分析框架可將信用損失平均降低多少？	$27\%$
在金融業，所謂的「解釋性 AI」（Explainable AI）框架的主要目的是什麼？	在保持合規的同時，使複雜的決策過程具有透明度。
IFC 的 iPortal 系統利用什麼技術來確保在不同大洲的運算環境中性能一致？	容器化技術（Containerization technologies）。
在預測建模的生命週期中，哪四個階段是必經的？	數據準備、模型規範、驗證、實施。
金融機構中，跨職能治理委員會通常監督大約多少比例的企業級分析實施？	$78\%$
何謂「圖形分析」（Graph-based analysis）在詐欺偵測中的價值？	有效識別跨多個帳戶的協調性詐欺攻擊。
在 Google Cloud 的定義中，回答「接下來可能會發生什麼事？」的數據科學分支是 _____。	預測分析（Predictive analytics）。
「資料湖倉」（Lakehouse）架構在預測分析中的優勢為何？	在統一、開放的環境中管理龐大數據，而不必費心基礎設施。
預測分析的「持續學習」特點是指什麼？	隨著獲取新數據，模型的預測能力會隨時間自動提高。
在金融風險建模中，「主權風險」（Sovereign Risk）是指哪種實體違約的風險？	國家或政府。
在 AI 代理架構中，「並行評估」模型相對於「順序處理」的主要優勢在於提升了什麼？	處理速度（減少延遲）。
在實施 AI 代理前，組織應優先評估的是「架構準備度」還是「AI 成熟度」？	架構準備度。
IFRS 9 要求對不同時間視角的違約機率進行建模，除了 12 個月 PiT 外，還包括 _____。	終身 PD（Lifetime PD）。
在金融行銷數據分析中，「歸類（Binning）」的主要目的是什麼？	增強預測模型的穩健性與準確性。
何謂「交易對手風險」（Counterparty Risk）？	金融合約的一方未能履行其義務的風險。
PenFed PANGEN 系統的模型重校準（Recalibration）頻率大約是多久一次？	每 72 小時。
根據 Google Cloud 建議，實施預測分析的第一步是什麼？	定義問題。
在預測分析的數據預處理中，「清理原始數據」的關鍵目的是為了移除什麼？	可能導致模型偏差（Bias）的異常值或測量錯誤。
行為生物辨識系統的平均「誤報率」（False rejection rate）大約是多少？	$0.32\%$
哪種 AI 技術能建立數據中複雜的「非線性關係」模型？	類神經網路（Neural Networks）。
在 PenFed 案例中，Pega 工作流自動化幫助學分合作社減少了多少決策時間？	$42\%$
金融預測分析的主要數據來源包括交易數據、歷史數據、營運數據以及 _____。	外部市場數據。
預測分析如何影響金融團隊的角色定位？	使其從被動的報告生成者轉向主動的策略顧問。
在金融風險管理中，「不確定性」的商業價值在於通過預測分析可以 _____。	降低不確定性並取得競爭優勢。
